#GRCH 38p13 data from NCBI retrieved 2/10/2021 from https://www.ncbi.nlm.nih.gov/genome?LinkName=nuccore_genome&from_uid=568815597												
Type	RefSeq	INSDC	Size (Mb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene		
Chr1	NC_000001.11	CM000663.2	248.96	42.3	11288	17	90	4612	5091	1414		
Chr2	NC_000002.12	CM000664.2	242.19	40.3	8519	-	7	3834	3879	1204		
Chr3	NC_000003.12	CM000665.2	198.3	39.7	7566	-	4	2869	2988	912		
Chr4	NC_000004.12	CM000666.2	190.22	38.3	4763	-	1	2258	2443	806		
Chr5	NC_000005.10	CM000667.2	181.54	39.5	4892	-	17	2263	2603	793		
Chr6	NC_000006.12	CM000668.2	170.81	39.6	5756	-	138	2588	3020	893		
Chr7	NC_000007.14	CM000669.2	159.35	40.7	5359	-	22	2482	2782	913		
Chr8	NC_000008.11	CM000670.2	145.14	40.2	4157	-	4	2018	2172	678		
Chr9	NC_000009.12	CM000671.2	138.4	42.3	4764	-	3	2284	2275	725		
Chr10	NC_000010.11	CM000672.2	133.8	41.6	5518	-	3	2231	2181	643		
Chr11	NC_000011.10	CM000673.2	135.09	41.6	6800	-	13	2543	2920	840		
Chr12	NC_000012.12	CM000674.2	133.28	40.8	6190	-	9	2575	2540	701		
Chr13	NC_000013.11	CM000675.2	114.36	40.2	2116	-	4	1290	1384	475		
Chr14	NC_000014.9	CM000676.2	107.04	42.2	3590	-	18	1746	2061	587		
Chr15	NC_000015.10	CM000677.2	101.99	43.4	3632	-	9	1838	1827	572		
Chr16	NC_000016.10	CM000678.2	90.34	45.1	4697	-	27	1823	1955	486		
Chr17	NC_000017.11	CM000679.2	83.26	45.3	6269	-	33	2298	2461	577		
Chr18	NC_000018.10	CM000680.2	80.37	39.8	2052	-	1	1001	985	301		
Chr19	NC_000019.10	CM000681.2	58.62	47.9	6944	-	6	2001	2494	527		
Chr20	NC_000020.11	CM000682.2	64.44	43.9	2871	-	-	1360	1359	343		
Chr21	NC_000021.9	CM000683.2	46.71	42.2	1291	12	1	715	778	208		
Chr22	NC_000022.11	CM000684.2	50.82	47.7	2525	-	-	1034	1186	358		
ChrX	NC_000023.11	CM000685.2	156.04	39.6	3830	-	4	1297	2220	913		
ChrY	NC_000024.10	CM000686.2	57.23	45.4	335	-	-	321	583	398		
MT	NC_012920.1	J01415.2	0.02	44.4	13	2	22	-	37	-		
Un	.	-	183.8	44.3	7225	33	161	4057	7014	2076		
