DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2015-05-18	21685187	Siedlinski M	2011-06-16	Thorax	www.ncbi.nlm.nih.gov/pubmed/21685187	Genome-wide association study of smoking behaviours in patients with COPD.	Lifetime average cigarettes per day in chronic obstructive pulmonary disease	3,440 European ancestry cases	NA				MSH6							rs77155169-C	rs77155169	0	77155169		1	0.94	2E-7	6.698970004336019		0.214	unit increase	Illumina [~ 6300000] (imputed)	N	chronic obstructive pulmonary disease, smoking behaviour measurement	http://www.ebi.ac.uk/efo/EFO_0000341, http://www.ebi.ac.uk/efo/EFO_0005671	GCST001112	Genome-wide genotyping array
2015-05-30	25241909	Lee JH	2014-09-21	Respir Res	www.ncbi.nlm.nih.gov/pubmed/25241909	Genetic susceptibility for chronic bronchitis in chronic obstructive pulmonary disease.	Chronic obstructive pulmonary disease	3,777 European ancestry cases, 3,520 European ancestry smoker controls	NA	4q22.1	4	88947927	FAM13A	FAM13A			ENSG00000138640			rs2869966-T	rs2869966	0	2869966	intron_variant	0	0.41	7E-10	9.154901959985743		1.29	[1.19-1.40]	Illumina [NR] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST002624	Genome-wide genotyping array
2015-05-30	25241909	Lee JH	2014-09-21	Respir Res	www.ncbi.nlm.nih.gov/pubmed/25241909	Genetic susceptibility for chronic bronchitis in chronic obstructive pulmonary disease.	Chronic obstructive pulmonary disease	3,777 European ancestry cases, 3,520 European ancestry smoker controls	NA	4q31.21	4	144524627	HHIP-AS1	AC098588.3, AC098588.2			ENSG00000285783, ENSG00000285713			rs138641402-A	rs138641402	0	138641402	intron_variant	0	0.63	4E-9	8.397940008672037		1.3	[1.19-1.42]	Illumina [NR] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST002624	Genome-wide genotyping array
2015-05-30	25241909	Lee JH	2014-09-21	Respir Res	www.ncbi.nlm.nih.gov/pubmed/25241909	Genetic susceptibility for chronic bronchitis in chronic obstructive pulmonary disease.	Chronic obstructive pulmonary disease	3,777 European ancestry cases, 3,520 European ancestry smoker controls	NA	15q25.1	15	78481929	IREB2	IREB2			ENSG00000136381			rs8042238-T	rs8042238	0	8042238	intron_variant	0	0.64	5E-8	7.301029995663981		1.26	[1.16-1.37]	Illumina [NR] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST002624	Genome-wide genotyping array
2020-07-21	32222710	Hosgood Iii HD	2020-03-27	Respiration	www.ncbi.nlm.nih.gov/pubmed/32222710	PRDM15 Is Associated with Risk of Chronic Obstructive Pulmonary Disease in a Rural Population in Chile.	Chronic obstructive pulmonary disease	214 Chilean cases, 193 Chilean controls	NA	21q22.3	21	41798360	PRDM15	PRDM15			ENSG00000141956			rs1054761-T	rs1054761	0	1054761	3_prime_UTR_variant	0	NR	2E-7	6.698970004336019		2.2336385	[1.64-3.04]	Illumina [455564] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST010249	Genome-wide genotyping array
2020-07-21	32222710	Hosgood Iii HD	2020-03-27	Respiration	www.ncbi.nlm.nih.gov/pubmed/32222710	PRDM15 Is Associated with Risk of Chronic Obstructive Pulmonary Disease in a Rural Population in Chile.	Chronic obstructive pulmonary disease	214 Chilean cases, 193 Chilean controls	NA	10p13	10	13936235	FRMD4A	FRMD4A			ENSG00000151474			rs10906545-?	rs10906545	0	10906545	intron_variant	0	NR	3E-6	5.522878745280337				Illumina [455564] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST010249	Genome-wide genotyping array
2020-07-21	32222710	Hosgood Iii HD	2020-03-27	Respiration	www.ncbi.nlm.nih.gov/pubmed/32222710	PRDM15 Is Associated with Risk of Chronic Obstructive Pulmonary Disease in a Rural Population in Chile.	Chronic obstructive pulmonary disease	214 Chilean cases, 193 Chilean controls	NA	8q11.23	8	53875691	RGS20	RGS20			ENSG00000147509			rs7827611-?	rs7827611	0	7827611	intron_variant	0	NR	4E-6	5.3979400086720375				Illumina [455564] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST010249	Genome-wide genotyping array
2020-07-21	32222710	Hosgood Iii HD	2020-03-27	Respiration	www.ncbi.nlm.nih.gov/pubmed/32222710	PRDM15 Is Associated with Risk of Chronic Obstructive Pulmonary Disease in a Rural Population in Chile.	Chronic obstructive pulmonary disease	214 Chilean cases, 193 Chilean controls	NA	1q43	1	241686357	WDR64	WDR64			ENSG00000162843			rs9428513-?	rs9428513	0	9428513	intron_variant	0	NR	6E-6	5.221848749616356				Illumina [455564] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST010249	Genome-wide genotyping array
2020-07-21	32222710	Hosgood Iii HD	2020-03-27	Respiration	www.ncbi.nlm.nih.gov/pubmed/32222710	PRDM15 Is Associated with Risk of Chronic Obstructive Pulmonary Disease in a Rural Population in Chile.	Chronic obstructive pulmonary disease	214 Chilean cases, 193 Chilean controls	NA	12p11.22	12	30155935	Intergenic	AC023511.3 - AC023511.2	ENSG00000286566	ENSG00000276431		25345	13946	rs12313180-?	rs12313180	0	12313180	intergenic_variant	1	NR	8E-6	5.096910013008056				Illumina [455564] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST010249	Genome-wide genotyping array
2021-03-30	32824824	Diaz-Pena R	2020-08-18	J Pers Med	www.ncbi.nlm.nih.gov/pubmed/32824824	Amerindian Ancestry Influences Genetic Susceptibility to Chronic Obstructive Pulmonary Disease.	Chronic obstructive pulmonary disease	214 Chilean cases, 193 Chilean controls	NA	1q32.1	1	202505646	PPP1R12B	PPP1R12B			ENSG00000077157			rs12741415-A	rs12741415	0	12741415	intron_variant	0	NR	3E-7	6.522878745280337		3.01	NR	Illumina [754159] (imputed)	N	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	GCST011435	Genome-wide genotyping array
